ⲟ,"great"
ⲁⲥⲫⲁⲗⲧⲟⲛ,"asphalt, bitumen"
ⲟⲛⲟⲙⲁⲥⲓⲁ,"name"
ⲁⲛⲁⲥⲧⲁⲥⲓ,"to rise from the dead"
ⲥⲩⲛⲁⲅⲱⲅⲏ,"gathering, multitude, crowd (specific sense unclear)"
ⲥⲧⲟⲗⲟⲧⲟⲥ,"fleet"
ⲭⲁⲕⲕⲁⲙⲁⲩ,"small night owl"
ⲡⲁⲣⲁⲧⲓⲛⲉ,"stretch out object unclear"
ⲕⲁⲧⲁⲡⲁⲧⲓ,"to trample s.th./s.o."
ⲉⲙⲡⲟⲇⲓⲟⲛ,"impediment"
ⲡⲁⲛⲧⲉⲗⲏⲥ,"perfect, absolute (attributive)"
ⲡⲣⲟⲥⲑⲩⲕⲏ,"bonus, additional payment"
ⲛⲟⲙⲟⲑⲉⲧⲓ,"to give laws, to make laws"
ⲁⲛⲁⲗⲏⲯⲓⲥ,"ascension, rapture (of the risen Christ)"
ⲉⲛⲁⲛⲧⲓⲟⲛ,"opposite (substantive)"
ⲧⲣⲙⲧⲉϥϩⲟ,"unknown meaning"
ⲇⲓⲫⲣⲩⲅⲟⲥ,"diphryges: a special kind of clay, (or) slag of copper-melting furnaces (unpure
ⲉⲅⲅⲣⲁⲫⲟⲛ,"written document, deed"
ⲕⲁⲙⲁⲇⲓⲟⲛ,"a type of (Persian) garment, kaftan"
ⲫⲓⲗⲓⲧⲣⲟⲛ,"love-charm, love-spell"
ⲧⲟⲗⲙⲉⲥⲓⲁ,"courage, bravery"
ⲡⲣⲉⲥⲃⲉⲩⲉ,"to intercede or help (object: none)"
ⲡⲁⲣⲣⲏⲥⲓⲁ,"openly, publicly"
ⲡⲣⲟⲥⲇⲟⲕⲁ,"to expect, plan to do s.th. (object: verb of movement)"
ⲥⲩⲛϩⲟⲇⲟⲥ,"synod"
ϩⲩⲡⲟⲙⲓⲛⲉ,"to hold out, endure, be patient (object: none)"
ⲁⲡⲟⲧⲁⲝⲓⲥ,"baptismal renunciation (of the devil)"
ⲉⲡⲏⲣⲉⲁⲍⲉ,"to insult s.o."
ⲯⲁⲗⲙⲱⲇⲓⲁ,"singing of psalms"
ⲇⲩⲛⲁⲥⲧⲏⲥ,"ruler"
ⲉⲡⲓⲧⲓⲙⲓⲁ,"punishment"
ⲭⲣⲓⲥⲓⲙⲱⲛ,"useful (attributive)"
ⲕⲁⲃⲓⲧⲁⲣⲉ,"jeweller"
ⲇⲩⲙⲟⲥⲓⲟⲩ,"to make s.th. public, announce s.th. (object: none)"
ⲡⲗⲏⲕⲧⲣⲟⲛ,"pick (for stringed instruments)"
ⲕⲗⲁⲩⲕⲓⲟⲩ,"juice of the horned poppy, Glaucium corniculatum"
ⲥⲩⲛⲁⲓⲛⲉⲓ,"to agree with s.o."
ⲧⲉⲧⲁⲣⲧⲟⲛ,"fourth (specific sense unclear)"
ⲇⲓⲁⲥⲡⲟⲣⲁ,"dispersion, diaspora"
ⲇⲓⲁⲕⲟⲛⲉⲓ,"to serve (specific sense unclear)"
ⲥⲁⲫⲏⲛⲓⲍⲉ,"to bring forward, to mention/specify s.o./s.th."
ⲥⲫⲣⲁⲅⲓⲍⲉ,"to make the sign of the cross (object: none)"
ⲕⲁⲗⲩⲡⲧⲟⲥ,"hidden one (substantive; epithet for celestial entity)"
ⲁⲃⲉⲗⲧⲓⲟⲛ,"small sack, pouch"
ⲑⲉⲟⲗⲟⲅⲓⲁ,"theology"
ⲧⲉⲗⲱⲛⲓⲟⲛ,"custom house, toll-tax collector's office"
ⲫⲗⲟⲓⲁⲣⲓⲁ,"nonsense, foolery"
ⲕⲟⲣⲓⲛⲑⲟⲥ,"Corinthian (inhabitant of the city of Corinth)"
ⲫⲑⲟⲛⲏⲣⲓⲁ,"jealousy, envy"
ⲡⲁⲛⲟⲥⲓⲟⲥ,"all-holy, saintly (inverted attributive, attributive referent)"
ⲉⲝⲏⲕⲏⲥⲓⲥ,"homily"
ⲁⲑⲁⲛⲁⲧⲟⲛ,"immortal (attributive)"
ⲫⲓⲗⲟⲛⲓⲕⲏ,"to be rivals (object: none)"
ⲡⲣⲟⲕⲟⲡⲧⲉ,"to advance, progress; get spent, be over (subject: time: object: none)"
ⲙⲉⲣⲓⲥⲙⲟⲥ,"division, partition"
ⲁⲛⲉⲭⲉⲥⲑⲉ,"to approve, consent (object: none)"
ⲡⲗⲁⲛⲁⲥⲑⲉ,"to err, to be mistaken (object: none)"
ϧⲉⲗ(ⲗ)ⲟⲧ,"ravine, wady"
ϩⲁⲣⲙⲟⲛⲓⲁ,"harmony (of natural world)"
ⲉⲡⲓⲥⲧⲟⲗⲏ,"letter"
ⲁⲥⲱⲙⲁⲧⲟⲛ,"incorporeal (attributive)"
ⲁⲕⲱⲗⲩⲧⲱⲥ,"unhindered"
ⲥⲩⲛⲑⲏⲧⲟⲛ,"composite (attributive)"
ⲥⲩⲙⲫⲉⲣⲉⲓ,"to be profitable for s.o."
ⲡⲣⲟⲥⲉⲩⲭⲏ,"prayer"
ⲡⲟⲛⲏⲣⲉⲩⲉ,"to act maliciously, wickedly (object: none)"
ⲫⲑⲟⲛⲏⲣⲟⲥ,"envious, jealous (attributive)"
ⲑⲏⲥⲁⲩⲣⲟⲥ,"Treasury (of Life) (title of canonical work by Mani)"
ⲡⲣⲟⲧⲁⲥⲥⲉ,"to prefix (object: none; of words)"
ⲡⲣⲁⲅⲙⲁⲧⲁ,"matters, affairs"
ⲑⲉⲃⲟⲃⲟⲗⲏ,"(legal) foundation"
ⲥⲩⲛⲏⲗⲑⲁⲓ,"to join/work together, to reach an agreement regarding s.th."
ⲙⲓⲥⲑⲱⲥⲓⲥ,"(document of) lease"
ⲁⲣⲥⲉⲛⲓⲕⲏ,"male (referent: divine character)"
ⲡⲣⲟⲛⲓⲕⲟⲥ,"rude, lewd, naughty one (substantive)"
ⲥⲭⲟⲓⲛⲓⲟⲛ,"length"
ⲛⲟⲩⲙⲉⲣⲟⲛ,"independent body of troops, cohort"
ⲥⲩⲛϩⲓⲥⲧⲁ,"to combine, assemble, establish (specific sense unclear)"
ⲡⲉⲣⲓⲟⲇⲟⲥ,"period (of time)"
ⲡⲗⲟⲩⲥⲓⲟⲥ,"wealthy, opulent (attributive)"
ⲥⲱⲙⲁⲧⲓⲟⲛ,"slave"
ⲥⲁⲣⲕⲓⲛⲟⲥ,"of flesh (human) (as specifically opposed to pneumatic")"
ⲫⲁⲣⲙⲁⲕⲓⲁ,"potion-brewing, witchery"
ⲁⲥⲥⲩⲣⲓⲟⲥ,"Assyrian (substantive)"
ⲉⲗⲁⲙⲓⲧⲏⲥ,"Elamite"
ⲁⲡⲁⲛⲧⲩⲙⲁ,"chance, coincidence"
ⲕⲁⲧⲟⲣⲑⲟⲩ,"to rectify s.th., to make s.th. right"
ⲥⲡⲏⲗⲁⲓⲟⲛ,"cave"
ⲡⲣⲟⲡⲁⲧⲱⲣ,"forefather (benevolent superhuman being)"
ⲁⲥⲑⲉⲛⲉⲓⲁ,"weakness"
ⲙⲁⲥⲧⲓⲅⲓⲥ,"mastic; gum/resin of Pistacia Lentiscus L."
ⲕⲩⲙⲏⲗⲓⲟⲛ,"sacred vessel (part of treasure of church)"
ⲙⲏⲃⲣⲁⲛⲟⲛ,"parchment (attributive)"
ⲇⲓⲁⲧⲁⲥⲥⲉ,"to instruct, to order (exact meaning uncertain)"
ⲍⲓⲍⲁⲛⲓⲟⲛ,"a weed"
ⲭⲣⲉⲱⲥⲧⲉⲓ,"to be indebted, to owe (object: unclear)"
ⲡⲁⲣⲑⲉⲛⲓⲁ,"virginity"
ⲕⲟⲗⲗⲏⲕⲟⲛ,"guild"
ⲥⲁⲃⲁⲕⲁⲧⲉ,"linen cloth, towel"
ⲁⲓⲥⲑⲏⲧⲏⲥ,"perceptive, discerning (attributive)"
ⲥⲱⲙⲁⲧⲓⲍⲉ,"to write, draw up (implied: a document) (object: none)"
ⲧⲁⲡⲁⲛⲉⲩⲉ,"to spend/make expenditures from s.th. (assets)"
ⲉⲅⲕⲱⲙⲓⲟⲛ,"encomium, speech of praise"
ⲗⲟⲅⲓⲥⲙⲟⲥ,"thought, reasoning"
ⲕⲁⲑⲟⲗⲓⲕⲏ,"universal, all-encompassing (attributive)"
ⲕⲁⲛⲑⲁⲣⲓⲥ,"spanish fly, Lytta vesicatoria"
ⲕⲟⲥⲙⲓⲕⲟⲥ,"worldly one (substantive; pejorative)"
ⲇⲓⲁⲥⲱⲥⲟⲩ,"to escort s.th."
ⲫⲣⲟⲛⲓⲙⲟⲥ,"prudent one (substantive)"
ⲙⲉⲧⲣⲏⲧⲏⲥ,"metretes (a liquid measure)"
ⲥⲁⲣⲁⲫⲉⲓⲛ,"seraph (type of angel)"
ⲭⲉⲣⲟⲩⲃⲓⲛ,"cherub (type of angel)"
ⲛⲟⲩⲑⲉⲧⲉⲓ,"to admonish, chastise s.o."
ⲡⲓⲥⲧⲉⲩⲓⲛ,"to believe (object: none)"
ⲕⲟⲥⲙⲏⲥⲓⲥ,"adornment, arrangement"
ⲇⲁⲛⲓⲥⲧⲏⲥ,"creditor"
ⲃⲓⲱⲧⲓⲕⲟⲛ,"of or pertaining to banal, worldly life (substantive)"
ⲡⲣⲟⲥⲉⲗⲑⲉ,"to go to/approach s.o. (to organize prosecution)"
ⲕⲁⲧⲁⲣⲅⲉⲓ,"to be abolished"
ⲭⲁⲗⲇⲁⲓⲟⲥ,"Chaldean (substantive)"
ⲡⲉⲣⲓⲍⲱⲙⲁ,"loin-cloth"
ⲫⲁⲛⲉⲣⲓⲟⲥ,"manifest, visible (substantive)"
ϩⲉⲑⲛⲓⲕⲟⲥ,"unbelieving, worldly (substantive)"
ⲇⲓⲙⲟⲓⲣⲟⲛ,"two-thirds"
ⲉⲛⲧⲉⲩⲑⲉⲛ,"from now on, henceforth"
ⲃⲁⲥⲧⲉⲣⲛⲁ,"litter, sedan chair"
ⲡⲁⲛⲇⲏⲗⲟⲥ,"completely visible, clear one (substantive)"
ⲑⲉⲃⲇⲟⲙⲁⲥ,"hebdomad (group of seven)"
ⲕⲉⲗⲓⲥⲧⲣⲁ,"horse stable"
ⲁⲡⲟⲧⲁⲥⲥⲉ,"to renounce, to give up (object: none)"
ⲁⲫⲉⲗⲡⲓⲍⲉ,"to be without hope, to despair"
ⲥⲉⲃⲏⲣⲓⲟⲛ,"Severium (a building in Alexandria)"
ⲉⲛⲉⲣⲅⲉⲓⲁ,"force, activity (specific sense unclear)"
ⲕⲁⲧⲁⲕⲉⲛⲉ,"to empty (of a place: by leaving, deserting it)"
ⲟⲩⲣⲁⲛⲓⲟⲛ,"celestial, heavenly (substantive)"
ⲥⲡⲁⲧⲁⲗⲟⲥ,"lascivious, luxurious (attributive)"
ⲁⲅⲁⲡⲏⲧⲟⲥ,"beloved (belonging to a benevolent celestial hypostasis) (substantive)"
ⲍⲩⲅⲓⲥⲕⲟⲛ,"light yoke"
ⲧⲉⲭⲛⲓⲧⲏⲥ,"artisan, craftsman"
ⲧⲁⲛⲓⲥⲧⲏⲥ,"usury, interest"
ⲑⲉⲟⲗⲟⲅⲟⲥ,"theologian (epithet of John the Evangelist and Gregory of Nazianzus)"
ⲕⲁⲙⲓⲥⲓⲟⲛ,"shirt (substantive)"
ⲉⲡⲓⲥⲕⲟⲡⲏ,"bishopric (appellation of a bishop)"
ⲯⲓⲙⲓⲑⲓⲟⲛ,"white lead"
ⲡⲣⲟⲥⲫⲟⲣⲁ,"offering, sacrifice"
ⲡⲣⲟⲇⲟⲧⲏⲥ,"traitor, betrayer"
ⲁⲩⲧⲟⲫⲩⲏⲥ,"self-grown (substantive; referent: divine transcendent character)"
ϩⲩⲡⲟⲃⲁⲗⲉ,"to throw, put or lay under"
ⲕⲏⲡⲟⲩⲣⲟⲥ,"gardener"
ⲡⲣⲟⲑⲩⲙⲟⲥ,"ready, willing, eager (substantive)"
ⲙⲁⲕⲁⲣⲓⲍⲉ,"to bless, praise s.o./s.th. (specific sense and object unclear)"
ⲡⲣⲟⲑⲩⲙⲓⲁ,"goodwill, kindness"
ⲁⲣⲓⲑⲙⲓⲟⲛ,"of nominal value (of currency) (attributive)"
ⲡⲣⲟⲫⲏⲧⲏⲥ,"prophet"
ⲁⲙⲓⲛⲁⲕⲟⲩ,"styrax"
ⲕⲟⲩⲕⲗⲓⲟⲛ,"hood"
ⲇⲏⲙⲟⲥⲓⲟⲛ,"public, state, government"
ⲧⲁⲣⲧⲁⲣⲟⲛ,"Tartaros, netherworld"
ⲁⲡⲟⲇⲓⲇⲟⲩ,"[error} to deliver, hand s.th. over to s.o. (ἀναδιδόω is meant)"
ⲡⲣⲟⲱⲛⲧⲟⲥ,"pre-existent (attributive; referent: divine transcendent character)"
ⲧⲁⲣⲓⲥⲉⲟⲥ,"person from Tarsus (attributive)"
ⲑⲩⲥⲁⲩⲣⲟⲥ,"container"
ⲉⲅⲕⲣⲁⲧⲏⲥ,"abstaining, self-controlled (designation of ascetics in the Church) (substantive)"
ⲕⲗⲏⲣⲓⲕⲟⲥ,"cleric (one who holds official position in Church)"
ⲇⲉⲩⲧⲉⲣⲟⲛ,"secondly, in the second place"
ⲉⲡⲓⲧⲁⲥⲥⲉ,"to order, command (object: none)"
ⲥⲟⲩⲙⲁⲣⲉⲥ,"soup-ladle"
ⲭⲁⲣⲁⲕⲧⲏⲣ,"representation, imprint, image"
ϩⲓⲇⲓⲱⲧⲏⲥ,"layperson, amateur"
ⲇⲓⲁⲥⲧⲁⲗⲉ,"to discern, specify exactly (object unclear)"
ⲙⲁⲕⲁⲣⲓⲟⲥ,"blessed (specific sense unclear)"
ϩⲣⲟⲇⲓⲛⲟⲛ,"rose-oil"
ⲡⲁⲣⲁⲫⲣⲱⲛ,"wandering from reason, reasonless (substantive)"
ⲙⲉⲙⲯⲩⲥⲓⲥ,"objection"
ⲁⲩⲑⲉⲛⲧⲏⲥ,"original (of a text, used as if = αὐθεντικός) (attributive)"
ⲩⲓⲟⲑⲉⲥⲓⲁ,"adoption as a son"
ⲕⲁⲧⲁⲛⲉⲩⲉ,"to assent (object: none; referent: generation of celestial beings)"
ⲡⲁⲣⲱⲝⲩⲛⲉ,"to incite, provoke s.o."
ⲉⲩⲥⲭⲏⲙⲱⲛ,"noble, reputable (attributive)"
ⲥⲁⲣⲕⲓⲕⲟⲥ,"fleshly one, person of the flesh (substantive; being of a fleshly, material substance, as
ⲉⲡⲓⲇⲓⲇⲟⲩ,"to hand s.th. over to s.o."
ⲡⲁⲛⲁⲅⲓⲟⲥ,"utterly holy (substantive)"
ϩⲩⲥⲥⲱⲡⲟⲛ,"(branch of the) hyssop plant (Origanum hirtum)"
ⲕⲟⲕⲕⲓⲛⲟⲥ,"scarlet (thing) (specific sense unclear)"
ⲥⲁⲣⲁⲕⲓⲛⲏ,"Saracen (woman) (attributive)"
ⲙⲉⲧⲁⲛⲟⲓⲁ,"penitence, repentance, change of heart"
ⲟⲗⲗⲁⲣⲓⲟⲛ,"towel, handkerchief"
ⲅⲁⲗⲗⲓⲕⲟⲥ,"Gaulish (attributive)"
ⲉⲩⲕⲣⲁⲥⲓⲁ,"temperateness, mildness, proper mixture"
ⲥⲁⲡⲡⲓⲣⲟⲛ,"sapphire (attributive)"
ⲥⲩⲛⲑⲉⲥⲓⲥ,"composition, arrangement"
ⲇⲟⲕⲓⲙⲁⲍⲉ,"to examine/assess (specific sence unclear)"
ⲁⲛⲁⲕⲁⲗⲉⲓ,"to summon, call (back)"
ⲕⲁⲑⲁⲣⲓⲍⲉ,"to cleanse, purify (specific sense or usage unclear)"
ⲡⲣⲉⲥⲃⲉⲓⲁ,"intercession"
ϩⲓⲧⲁⲗⲓⲕⲏ,"The Italian" (name of a Roman cohort) (substantive)"
(ⲥⲟⲧⲥⲉⲧ),"shine, sparkle"
ⲡⲣⲟⲥⲑⲉⲙⲁ,"penis"
ⲁⲥⲥⲁⲣⲓⲟⲛ,"as, assarion (Roman copper coin, worth 1/16th of a denarius)"
ⲉⲕⲕⲗⲏⲥⲓⲁ,"church, assembly (specific usage unclear)"
ⲙⲁⲛⲅⲁⲛⲟⲛ,"windlass, crane"
ⲥⲁⲃⲃⲁⲧⲟⲛ,"week"
ⲥⲩⲛⲍⲏⲧⲉⲓ,"to deliberate, discuss with s.o."
ⲥⲩⲙⲙⲁⲭⲟⲥ,"messenger (re: either public or ecclesiastical/monastic messengers" who deliver messages
ⲡⲁⲛϩⲟⲗⲱⲛ,"entire universe, utter whole"
ⲫⲣⲟⲛⲏⲥⲓⲥ,"insight, understanding, thought"
ⲥⲁⲗⲁϣⲉⲓⲉ,"tall man (describing Antichrist)"
ⲙⲓⲥⲑⲱⲧⲏⲥ,"tenant"
ⲑⲉⲥⲃⲓⲧⲏⲥ,"Thesbite, of Thesba (?) (epithet of Elijah the prophet)"
ⲯⲓⲙⲓⲑⲓⲟⲩ,"white lead"
ⲕⲉⲣⲁⲡⲧⲉⲥ,"candle/candleholder (?)"
ⲓⲟⲩⲇⲁⲓⲟⲥ,"Jew (substantive)"
ⲉⲡⲓⲃⲟⲩⲗⲏ,"plot, scheming"
ⲁⲥⲡⲁⲥⲙⲟⲥ,"greeting, embrace"
ⲇⲓⲁⲥⲧⲏⲙⲁ,"space, ratio, interval"
ⲉⲡⲉⲛⲉⲅⲕⲉ,"to ascribe s.th. to s.o."
ⲡⲁⲣϩⲓⲥⲧⲁ,"to be with s.o. or s.th."
ⲁⲡⲟⲣⲣⲟⲓⲁ,"emanation"
ⲥⲩⲙⲃⲟⲗⲟⲛ,"symbol, token"
ⲡⲉⲣⲓⲭⲣⲓⲁ,"to anoint s.th."
ⲥⲧⲁⲧⲓⲕⲟⲛ,"astringent (substantive)"
ⲥⲁⲣⲇⲓⲛⲟⲛ,"a sardian stone"
ⲁⲣⲁⲃⲓⲕⲟⲛ,"Arabian (attributive)"
ⲕⲁⲧⲁⲗⲁⲥⲉ,"to exchange s.th. (object: s.th.)"
ⲥⲩⲙⲫⲱⲛⲟⲛ,"(document of) agreement, contract"
ⲡⲉⲣⲡⲉⲣⲟⲥ,"vainglorious thing (substantive)"
ⲡⲁⲛⲥⲟⲫⲟⲥ,"completely wise, all-wise one (substantive)"
ⲧⲩⲙⲡⲁⲛⲟⲛ,"kettledrum"
ⲧⲟⲗⲙⲏⲣⲟⲥ,"reckless, daring, audacious (individual) (substantive)"
ⲉⲩⲅⲉⲛⲉⲓⲁ,"nobility (substantive)"
ⲡⲗⲁⲛⲏⲧⲏⲥ,"planet"
ⲁⲛϩⲟⲥⲓⲟⲥ,"unholy, profane (substantive)"
ⲁⲅⲟⲣⲁⲓⲟⲥ,"person of the market, merchant"
ⲉⲗⲁⲥⲥⲟⲙⲁ,"defect, deficiency in quality"
ⲡⲁⲣⲁⲑⲏⲕⲏ,"hostage"
ⲉⲡⲓⲥⲏⲙⲟⲥ,"(someone) prominent, famous, notorious (substantive)"
ⲁⲡⲟⲅⲣⲁⲫⲏ,"assessment, inventory"
ϩⲓⲡⲡⲓⲕⲟⲥ,"race-course, circus (substantive)"
ⲃⲓⲱⲧⲓⲕⲟⲥ,"of or pertaining to banal, worldly life (substantive)"
ⲕⲁⲣⲧⲁⲙⲱⲛ,"nose-smart (lepidium sativum)"
ⲙⲁⲑⲏⲧⲉⲩⲉ,"to be a disciple to s.o., to follow s.o."
ⲕⲓⲛⲇⲩⲛⲟⲥ,"danger, peril, hazard"
ⲕⲉⲛⲉⲅⲓⲟⲥ,"huntsman, beast-master (one who fights wild beasts in public spectacles) (lit.
ⲉⲡⲓⲑⲩⲙⲉⲓ,"to desire, want s.o."
ⲁⲡⲟⲥⲧⲉⲣⲓ,"to withhold s.th."
ⲥⲩⲛⲧⲉⲭⲓⲁ,"(subject, topic of an) event, incident"
ⲙⲱⲁⲃⲓⲧⲏⲥ,"Moabite, inhabitant of Moab"
ⲧⲩⲣⲁⲛⲛⲟⲥ,"king, ruler"
ⲥⲩⲙⲫⲱⲛⲉⲓ,"to agree (object: none)"
ⲡⲟⲗⲗⲁⲕⲓⲥ,"perhaps, maybe"
ⲉⲛⲧⲁⲅⲓⲟⲛ,"receipt"
ⲃⲁⲕⲧⲏⲣⲓⲁ,"staff"
ⲥⲩⲥⲥⲏⲙⲟⲛ,"accordance, concordance"
ⲡⲁⲣⲑⲉⲛⲱⲛ,"virgin's quarter"
ⲉⲡⲓⲅⲉⲁⲉⲓ,"to be pressed, under pressure, weighed down"
ⲕⲟⲗⲁⲕⲉⲩⲉ,"to coax"
ⲙⲉⲧⲁⲗⲗⲟⲛ,"metal"
ⲃⲟⲣⲃⲟⲣⲟⲛ,"filth, mud"
ⲉⲕⲥⲁⲕⲧⲱⲣ,"tax-collector, official"
ϭⲁⲗⲁϣⲓⲣⲉ,"strong man, hero, warrior, giant"
ⲕⲁⲕⲟⲛⲟⲓⲁ,"guile, ill will"
ⲡⲧⲏⲣⲓⲕⲟⲛ,"pterygium; (disease of the eye when a membrane grows over it from the inner
ⲥⲧⲣⲉⲃⲗⲟⲩ,"to concern oneself (object: reflexive)"
ⲑⲉⲉⲧⲓⲕⲱⲛ,"divine (in origin) (as opposed to βασιλικός kingly/worldly in origin")"
ⲙⲉⲧⲁⲃⲟⲗⲏ,"change"
ⲕⲩⲙⲃⲁⲗⲟⲛ,"cymbal"
ⲇⲓⲁⲃⲟⲗⲟⲥ,"(The) Devil (Satan)"
ⲇⲓⲁⲧⲣⲓⲃⲉ,"to waste time"
ⲯⲓⲧⲧⲁⲅⲓⲛ,"pistachio"
ⲁⲣⲕⲉⲩⲑⲓⲥ,"juniper-berry"
ⲃⲁⲥⲁⲛⲓⲍⲉ,"to suffer, be tormented (object: none)"
ⲁⲡⲟⲇⲓⲝⲓⲥ,"receipt"
ⲧⲁⲣⲧⲁⲣⲟⲥ,"Tartaros, netherworld"
ⲕⲓⲥⲓⲣⲉⲟⲥ,"pumice-stone"
ⲡⲁⲓⲅⲛⲓⲟⲛ,"game (substantive)"
ⲁⲕⲣⲟⲁⲧⲏⲥ,"hearer, student"
ⲇⲓⲕⲁⲓⲱⲙⲁ,"ordinance, statute"
ⲕⲟⲙⲁⲣⲓⲟⲛ,"field"
ⲥⲭⲓⲧⲁⲣⲓⲛ,"sketch, rough draft (substantive)"
ⲉⲛⲧⲟⲗⲉⲩⲥ,"agent, (authorized) representative"
ⲫⲟⲥⲧⲁⲧⲱⲛ,"Fustat"
ⲡⲓⲑⲉⲥⲑⲁⲓ,"to obey (object: unclear)"
ⲟⲣⲓⲕⲁⲛⲟⲛ,"organy, Origanum heracleoticum"
ⲥⲟⲫⲓⲥⲧⲏⲥ,"adept, expert, wise man; Sophist"
ⲥⲩⲅⲕⲣⲓⲛⲉ,"to judge, pass judgment"
ⲙⲟⲛⲁⲣⲭⲓⲁ,"singular rule, monarchy"
ⲁⲫⲑⲁⲣⲥⲓⲁ,"immortality"
ⲭⲉⲧⲧⲁⲓⲟⲥ,"Hittite (substantive)"
ⲧⲟⲗⲙⲏⲥⲓⲥ,"dare/reckless act"
ⲡⲟⲗⲓⲧⲉⲩⲉ,"to conduct one's life, live, behave by / according to s.th."
ⲇⲓⲁⲕⲟⲛⲓⲛ,"to serve s.o."
ⲥⲩⲥⲧⲁⲥⲓⲥ,"confirmation, proof"
ⲁⲛⲁⲗⲟⲅⲓⲁ,"equivalent (share/proportion)"
ⲁⲓⲥⲑⲏⲧⲟⲥ,"sensible, perceptible one (substantive)"
ⲧⲓⲙⲓⲱⲧⲏⲥ,"honor (appellation)"
ϩⲩⲙⲛⲱⲧⲟⲥ,"psalmist (appellation for King David)"
ⲫⲁⲣⲙⲁⲅⲟⲥ,"drug, poison"
ⲉⲩⲥⲉⲃⲉⲓⲁ,"piety"
ⲡⲣⲟⲧⲣⲉⲡⲉ,"to urge, exhort s.o."
ⲙⲁⲥⲧⲓⲭⲓⲛ,"mastic; gum/resin of Pistacia Lentiscus L."
ⲥⲩⲛⲭⲱⲣⲉⲓ,"to allow, grant (object: unclear)"
ⲉⲕⲥⲧⲁⲥⲓⲥ,"confusion, derangement"
ⳉⲛ ⲟⲩⲥⳉⲉ,"on a sudden"
ⲡⲣⲟⲥⲱⲡⲟⲛ,"face, countenance"
ⲕⲁⲑⲁⲓⲣⲟⲩ,"to remove, expel (specific usage unclear)"
ⲡⲣⲟⲇⲓⲇⲟⲩ,"to betray s.o."
ⲥⲕⲓⲃⲩⲧⲱⲣ,"watchman, guard"
ⲁⲣⲭⲉⲥⲑⲁⲓ,"to begin (sense unclear)"
ⲉⲛⲉⲭⲉⲣⲟⲛ,"pledge, security"
ⲙⲁⲗⲁⲕⲧⲱⲛ,"malacton (a herb / M2611unguent?)"
ⲇⲓⲁⲕⲟⲛⲓⲁ,"service, aid, support"
ⲑⲉⲟⲇⲟⲕⲟⲥ,"the God-Bearing (epithet of Virgin Mary)"
ⲁⲛⲟⲩⲥⲓⲟⲥ,"one without substance (substantive; epithet for God)"
ⲉⲡⲓⲧⲣⲉⲡⲉ,"to turn over, entrust to s.th."
ⲕⲁⲧⲁⲕⲓⲟⲛ,"cellar"
ⲃⲁⲣⲃⲁⲣⲟⲥ,"barbarian"
ⲁⲇⲩⲛⲁⲧⲟⲥ,"impossible (attributive)"
ⲝ(ⲉⲥⲧⲏⲥ),"a measure (pint) (abbreviation)"
ⲥⲕⲟⲣⲡⲓⲟⲛ,"scorpion furze, Genista acanthoclada; scorpion root"
ⲡⲣⲟⲉⲥⲧⲟⲩ,"headman (of a monastery)"
ⲡⲓⲧⲁⲕⲓⲟⲛ,"slip, sheet, label (to be inscribed with a spell and bound to s.th.)"
ⲇⲓⲁⲃⲁⲗⲗⲉ,"to slander (specific sense unclear)"
ⲁⲛⲁⲕⲣⲓⲛⲉ,"to question s.o."
ⲥⲧⲁⲥⲓⲁⲍⲉ,"to rebel, rise up (object: none)"
ⲁⲗⲏⲑⲓⲛⲟⲛ,"true, real, actual (attributive)"
ⲥⲩⲅⲕⲣⲓⲙⲁ,"compound, combination"
ⲡⲣⲟⲃⲗⲏⲙⲁ,"question"
ⲡⲁⲛⲇⲟⲩⲣⲁ,"lute"
ⲁⲓⲥⲑⲏⲥⲓⲥ,"perception (general, or specific sense unclear)"
ⲁⲅⲛⲱⲥⲧⲟⲥ,"unknowable, hidden (attributive; general, or specific sense unclear)"
ⲇⲓⲁⲗⲩⲥⲓⲥ,"(document of) settlement (substantive)"
ⲉⲡⲟⲓⲕⲓⲟⲛ,"farmstead (re: a small rural settlement owned and controlled by a landowner, as opposed
ⲕⲁⲥⲓⲧⲏⲣⲉ,"tin"
ⲥⲧⲉⲣⲉⲱⲙⲁ,"firmament (the sphere of fixed stars)"
ⲁϩⲟⲣⲁⲧⲟⲛ,"invisible (specific sense unclear)"
ⲥⲩⲙⲫⲱⲛⲓⲁ,"agreement, concord, collaboration"
ⲫⲁⲛⲧⲁⲥⲙⲁ,"ghost"
ⲓⲥⲟⲧⲩⲡⲟⲛ,"identical, duplicate (of two copies of the same document) (attributive)"
ⲥⲩⲛⲅⲛⲱⲙⲏ,"concession"
ⲡⲁⲛⲅⲉⲛⲓⲁ,"all-birth, total begetting, birth of the all"
ⲉⲝⲏⲅⲏⲧⲏⲥ,"exegete, interpreter"
ⲫⲁⲛⲧⲁⲥⲓⲁ,"illusion, phantasm, hallucination"
ⲇⲓⲥⲧⲓⲭⲟⲛ,"a couple (of lines), a small letter"
ⲥⲧⲟⲙⲁⲭⲟⲥ,"stomach"
ⲇⲉⲥⲡⲟⲧⲏⲥ,"lord, master (referring to God and/or Christ)"
ⲁⲯⲓⲙⲁⲭⲓⲁ,"(legal) dispute"
ⲫⲓⲗⲟⲥⲟⲫⲓ,"to study s.th., work at s.th."
